POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,Year
100,Aaron Finch,1,1,1.1,5,0,0/5,0.0,4.28,0.0,0,0,2010
101,Balachandra Akhil,1,1,1.0,6,0,0/6,0.0,6.0,0.0,0,0,2010
102,Karan Goel,6,1,1.0,7,0,0/7,0.0,7.0,0.0,0,0,2010
103,David Hussey,6,5,10.0,80,0,0/7,0.0,8.0,0.0,0,0,2010
104,Rohan Gavaskar,2,1,1.0,8,0,0/8,0.0,8.0,0.0,0,0,2010
105,Adam Voges,9,7,9.0,76,0,0/5,0.0,8.44,0.0,0,0,2010
106,Stuart Binny,1,1,1.0,9,0,0/9,0.0,9.0,0.0,0,0,2010
107,Virat Kohli,16,4,5.2,50,0,0/1,0.0,9.37,0.0,0,0,2010
108,Morne Morkel,2,2,7.0,66,0,0/32,0.0,9.42,0.0,0,0,2010
109,Kemar Roach,2,2,8.0,80,0,0/32,0.0,10.0,0.0,0,0,2010
110,Faiz Fazal,10,2,2.0,20,0,0/6,0.0,10.0,0.0,0,0,2010
111,Venugopal Rao,6,1,1.0,10,0,0/10,0.0,10.0,0.0,0,0,2010
112,Brett Lee,4,4,14.3,149,0,0/24,0.0,10.27,0.0,0,0,2010
113,Sourav Ganguly,14,3,4.0,43,0,0/12,0.0,10.75,0.0,0,0,2010
114,Abhishek Jhunjhunwala,13,5,6.1,69,0,0/2,0.0,11.18,0.0,0,0,2010
115,Sridharan Sriram,1,1,2.0,24,0,0/24,0.0,12.0,0.0,0,0,2010
116,Tirumalasetti Suman,14,2,2.0,24,0,0/8,0.0,12.0,0.0,0,0,2010
117,Chandrasekar Ganapathy,1,1,1.0,13,0,0/13,0.0,13.0,0.0,0,0,2010
118,Thisara Perera,1,1,1.0,19,0,0/19,0.0,19.0,0.0,0,0,2010
119,Cameron White,7,1,1.0,19,0,0/19,0.0,19.0,0.0,0,0,2010
1,Lasith Malinga,16,16,63.0,375,28,5/13,13.39,5.95,13.5,0,1,2011
2,Munaf Patel,15,15,54.2,358,22,5/21,16.27,6.58,14.81,0,1,2011
3,Sreenath Aravind,13,13,46.0,368,21,4/14,17.52,8.0,13.14,1,0,2011
4,Ravichandran Ashwin,16,16,63.0,388,20,3/16,19.4,6.15,18.9,0,0,2011
5,Amit Mishra,14,14,53.2,358,19,4/9,18.84,6.71,16.84,1,0,2011
6,Doug Bollinger,13,13,47.0,329,17,3/21,19.35,7.0,16.58,0,0,2011
7,Rahul Sharma,14,14,50.0,273,16,3/13,17.06,5.46,18.75,0,0,2011
8,Iqbal Abdulla,15,15,50.0,305,16,3/24,19.06,6.1,18.75,0,0,2011
9,Ryan Harris,13,13,47.0,382,16,3/28,23.87,8.12,17.62,0,0,2011
10,Piyush Chawla,12,12,41.2,336,16,4/17,21.0,8.12,15.5,1,0,2011
11,Albie Morkel,15,14,45.0,382,15,3/29,25.46,8.48,18.0,0,0,2011
12,Dale Steyn,12,12,45.3,299,14,3/16,21.35,6.57,19.5,0,0,2011
13,Harbhajan Singh,15,15,53.0,370,14,5/18,26.42,6.98,22.71,0,1,2011
14,Zaheer Khan,15,15,59.0,455,14,3/32,32.5,7.71,25.28,0,0,2011
15,Yusuf Pathan,15,14,39.0,238,13,3/20,18.3,6.1,18.0,0,0,2011
16,Shane Warne,13,12,47.0,297,13,3/16,22.84,6.31,21.69,0,0,2011
17,RP Singh,14,14,50.0,345,13,4/25,26.53,6.9,23.07,1,0,2011
18,Morne Morkel,11,11,43.0,325,13,3/18,25.0,7.55,19.84,0,0,2011
19,Daniel Vettori,13,13,51.4,311,12,3/19,25.91,6.01,25.83,0,0,2011
20,Vinay Kumar,13,13,44.4,335,12,3/25,27.91,7.5,22.33,0,0,2011
21,Shakib Al Hasan,7,7,25.3,175,11,3/28,15.9,6.86,13.9,0,0,2011
22,Ishant Sharma,12,12,44.0,314,11,5/12,28.54,7.13,24.0,0,1,2011
23,Irfan Pathan,14,13,45.5,344,11,3/28,31.27,7.5,25.0,0,0,2011
24,Dan Christian,14,14,45.4,350,11,2/13,31.81,7.66,24.9,0,0,2011
25,Alfonso Thomas,11,11,38.3,297,11,2/23,27.0,7.71,21.0,0,0,2011
26,Pragyan Ojha,10,10,36.5,267,10,3/26,26.7,7.24,22.1,0,0,2011
27,Praveen Kumar,13,13,46.0,345,10,2/19,34.5,7.5,27.6,0,0,2011
28,Shadab Jakati,15,14,44.1,336,10,2/21,33.6,7.6,26.5,0,0,2011
29,Lakshmipathy Balaji,14,14,44.2,371,10,3/15,37.1,8.36,26.6,0,0,2011
30,Kieron Pollard,16,16,42.3,361,10,2/24,36.1,8.49,25.5,0,0,2011
31,Siddharth Trivedi,12,12,35.4,303,10,3/15,30.3,8.49,21.4,0,0,2011
32,Yuvraj Singh,14,13,29.0,192,9,4/29,21.33,6.62,19.33,1,0,2011
33,Wayne Parnell,8,8,29.2,213,9,3/35,23.66,7.26,19.55,0,0,2011
34,Amit Singh,9,9,28.3,215,9,3/35,23.88,7.54,19.0,0,0,2011
35,Bhargav Bhatt,10,8,27.5,229,9,4/22,25.44,8.22,18.55,1,0,2011
36,Rajat Bhatia,14,12,32.0,210,8,3/22,26.25,6.56,24.0,0,0,2011
37,Chris Gayle,12,12,36.0,244,8,3/21,30.5,6.77,27.0,0,0,2011
38,Ravindra Jadeja,14,14,42.0,305,8,2/25,38.12,7.26,31.5,0,0,2011
39,Ajit Agarkar,7,7,27.0,231,8,2/23,28.87,8.55,20.25,0,0,2011
40,Shalabh Srivastava,6,6,20.0,186,8,2/20,23.25,9.3,15.0,0,0,2011
41,Shanthakumaran Sreesanth,9,9,31.5,206,7,2/10,29.42,6.47,27.28,0,0,2011
42,Johan Botha,10,10,36.0,239,7,3/6,34.14,6.63,30.85,0,0,2011
43,Mitchell Marsh,5,5,14.1,99,7,4/25,14.14,6.98,12.14,1,0,2011
44,Brad Hodge,14,4,11.0,77,7,4/13,11.0,7.0,9.42,1,0,2011
45,Jacques Kallis,15,9,24.0,170,7,2/16,24.28,7.08,20.57,0,0,2011
46,Paul Valthaty,14,9,24.1,189,7,4/29,27.0,7.82,20.71,1,0,2011
47,James Hopes,10,9,32.0,272,7,1/25,38.85,8.5,27.42,0,0,2011
48,Shane Watson,11,10,36.0,241,6,3/19,40.16,6.69,36.0,0,0,2011
49,Suraj Randiv,8,8,29.0,223,6,2/24,37.16,7.68,29.0,0,0,2011
50,Dwayne Bravo,6,6,20.0,157,6,2/21,26.16,7.85,20.0,0,0,2011
51,Jaydev Unadkat,7,6,18.0,150,6,2/25,25.0,8.33,18.0,0,0,2011
52,Shaun Tait,4,4,14.5,127,6,3/22,21.16,8.56,14.83,0,0,2011
53,Roelof van der Merwe,4,4,14.5,92,5,3/20,18.4,6.2,17.8,0,0,2011
54,Dhawal Kulkarni,6,6,20.0,149,5,3/26,29.8,7.45,24.0,0,0,2011
55,Brett Lee,12,12,45.2,338,5,1/12,67.6,7.45,54.4,0,0,2011
56,Charl Langeveldt,3,3,11.0,84,5,2/10,16.8,7.63,13.2,0,0,2011
57,Raiphi Gomez,11,8,15.0,124,5,2/14,24.8,8.26,18.0,0,0,2011
58,Syed Mohammad,5,5,15.0,127,5,2/25,25.4,8.46,18.0,0,0,2011
59,Ashok Dinda,6,5,17.0,152,5,2/42,30.4,8.94,20.4,0,0,2011
60,Abhimanyu Mithun,12,12,34.0,321,5,2/37,64.2,9.44,40.8,0,0,2011
61,Ryan McLaren,6,6,18.0,178,5,2/33,35.6,9.88,21.6,0,0,2011
62,Bipul Sharma,4,4,12.0,78,4,2/32,19.5,6.5,18.0,0,0,2011
63,Suresh Raina,16,12,27.3,201,4,2/0,50.25,7.3,41.25,0,0,2011
64,Shahbaz Nadeem,5,5,19.0,142,4,2/39,35.5,7.47,28.5,0,0,2011
65,Shrikant Wagh,7,7,16.0,121,4,3/16,30.25,7.56,24.0,0,0,2011
66,Jesse Ryder,13,7,15.2,118,4,1/8,29.5,7.69,23.0,0,0,2011
67,JP Duminy,10,8,18.0,143,4,1/3,35.75,7.94,27.0,0,0,2011
68,Tim Southee,5,5,19.0,166,4,1/30,41.5,8.73,28.5,0,0,2011
69,P Parameswaran,5,5,15.4,137,4,2/20,34.25,8.74,23.5,0,0,2011
70,Manpreet Gony,3,3,9.0,85,4,3/31,21.25,9.44,13.5,0,0,2011
71,Ali Murtaza,5,5,20.0,117,3,2/18,39.0,5.85,40.0,0,0,2011
72,Bhuvneshwar Kumar,4,4,11.0,67,3,2/14,22.33,6.09,22.0,0,0,2011
73,Harmeet Singh Bansal,2,2,7.0,53,3,2/27,17.66,7.57,14.0,0,0,2011
74,Aavishkar Salvi,2,2,8.0,66,3,2/40,22.0,8.25,16.0,0,0,2011
75,James Franklin,8,6,10.1,99,3,2/35,33.0,9.73,20.33,0,0,2011
76,Anand Rajan,2,2,5.0,50,3,3/27,16.66,10.0,10.0,0,0,2011
77,Johan van der Wath,3,3,12.0,129,3,2/49,43.0,10.75,24.0,0,0,2011
78,Ryan Ninan,2,2,6.0,65,3,2/31,21.66,10.83,12.0,0,0,2011
79,Varun Aaron,4,3,12.0,82,2,1/20,41.0,6.83,36.0,0,0,2011
80,Muttiah Muralitharan,5,5,19.0,141,2,1/18,70.5,7.42,57.0,0,0,2011
81,Dirk Nannes,2,2,4.0,31,2,1/0,15.5,7.75,12.0,0,0,2011
82,Thisara Perera,4,4,14.0,111,2,1/30,55.5,7.92,42.0,0,0,2011
83,Ashok Menaria,13,9,15.0,121,2,2/20,60.5,8.06,45.0,0,0,2011
84,Virat Kohli,16,10,17.0,139,2,1/8,69.5,8.17,51.0,0,0,2011
85,Ramesh Powar,5,5,12.0,112,2,1/20,56.0,9.33,36.0,0,0,2011
86,Abhishek Nayar,10,6,10.1,95,2,1/22,47.5,9.34,30.5,0,0,2011
87,Umesh Yadav,7,6,18.0,169,2,2/29,84.5,9.38,54.0,0,0,2011
88,James Faulkner,1,1,2.0,9,1,1/9,9.0,4.5,12.0,0,0,2011
89,Shikhar Dhawan,14,2,2.0,11,1,1/7,11.0,5.5,12.0,0,0,2011
90,SS Mundhe,1,1,1.0,6,1,1/6,6.0,6.0,6.0,0,0,2011
91,Murali Kartik,6,6,20.5,166,1,1/27,166.0,7.96,125.0,0,0,2011
92,Nuwan Kulasekara,1,1,3.0,26,1,1/26,26.0,8.66,18.0,0,0,2011
93,Tillakaratne Dilshan,10,6,12.0,108,1,1/30,108.0,9.0,72.0,0,0,2011
94,Andrew Symonds,11,3,4.0,41,1,1/11,41.0,10.25,24.0,0,0,2011
95,Nayan Doshi,3,3,5.2,62,1,1/15,62.0,11.62,32.0,0,0,2011
96,David Hussey,8,2,3.0,38,1,1/19,38.0,12.66,18.0,0,0,2011
97,Yogesh Nagar,11,5,5.0,67,1,1/3,67.0,13.4,30.0,0,0,2011
98,Jacob Oram,2,1,2.0,32,1,1/32,32.0,16.0,12.0,0,0,2011
99,Sachin Rana,2,1,0.4,2,0,0/2,0.0,3.0,0.0,0,0,2011
100,Ankeet Chavan,2,2,5.0,27,0,0/10,0.0,5.4,0.0,0,0,2011
101,Mithun Manhas,10,3,7.0,42,0,0/9,0.0,6.0,0.0,0,0,2011
102,Nathan Rimmington,1,1,3.0,19,0,0/19,0.0,6.33,0.0,0,0,2011
103,Aaron Finch,6,1,2.0,13,0,0/13,0.0,6.5,0.0,0,0,2011
104,Vikramjeet Malik,1,1,2.0,13,0,0/13,0.0,6.5,0.0,0,0,2011
105,Nathan McCullum,2,2,5.0,34,0,0/12,0.0,6.8,0.0,0,0,2011
106,Abhishek Raut,7,2,3.0,21,0,0/8,0.0,7.0,0.0,0,0,2011
107,Ryan ten Doeschate,6,1,1.0,7,0,0/7,0.0,7.0,0.0,0,0,2011
108,Y Gnaneswara Rao,2,1,1.0,7,0,0/7,0.0,7.0,0.0,0,0,2011
109,Ambati Rayudu,16,1,3.0,22,0,0/22,0.0,7.33,0.0,0,0,2011
110,Rajagopal Sathish,9,4,5.1,41,0,0/5,0.0,7.93,0.0,0,0,2011
111,Tirumalasetti Suman,8,3,6.0,50,0,0/12,0.0,8.33,0.0,0,0,2011
112,Asad Pathan,6,2,5.3,49,0,0/19,0.0,8.9,0.0,0,0,2011
113,Dwaraka Ravi Teja,12,1,1.0,9,0,0/9,0.0,9.0,0.0,0,0,2011
114,Abrar Kazi,1,1,2.0,21,0,0/21,0.0,10.5,0.0,0,0,2011
115,Sarabjit Ladda,2,2,4.0,42,0,0/13,0.0,10.5,0.0,0,0,2011
116,Stuart Binny,6,3,4.0,44,0,0/12,0.0,11.0,0.0,0,0,2011
117,Ross Taylor,12,1,1.0,11,0,0/11,0.0,11.0,0.0,0,0,2011
118,Abhishek Jhunjhunwala,3,2,2.0,22,0,0/11,0.0,11.0,0.0,0,0,2011
119,Balachandra Akhil,1,1,2.0,22,0,0/22,0.0,11.0,0.0,0,0,2011
120,Joginder Sharma,1,1,3.0,34,0,0/34,0.0,11.33,0.0,0,0,2011
121,Pankaj Singh,4,1,2.0,23,0,0/23,0.0,11.5,0.0,0,0,2011
122,Manoj Tiwary,15,2,2.0,23,0,0/9,0.0,11.5,0.0,0,0,2011
123,Andrew McDonald,1,1,2.0,23,0,0/23,0.0,11.5,0.0,0,0,2011
124,Scott Styris,2,1,1.0,13,0,0/13,0.0,13.0,0.0,0,0,2011
125,Venugopal Rao,14,2,2.0,26,0,0/12,0.0,13.0,0.0,0,0,2011
126,Love Ablish,1,1,3.0,39,0,0/39,0.0,13.0,0.0,0,0,2011
127,Rohit Sharma,16,3,4.0,53,0,0/14,0.0,13.25,0.0,0,0,2011
128,Kamran Khan,1,1,3.0,47,0,0/47,0.0,15.66,0.0,0,0,2011
129,Padmanabhan Prasanth,1,1,1.0,18,0,0/18,0.0,18.0,0.0,0,0,2011
130,Bharat Chipli,14,1,1.0,20,0,0/20,0.0,20.0,0.0,0,0,2011
131,Ishan Malhotra,1,1,1.0,23,0,0/23,0.0,23.0,0.0,0,0,2011
132,Sridharan Sriram,1,1,1.0,25,0,0/25,0.0,25.0,0.0,0,0,2011
1,Morne Morkel,16,16,63.0,453,25,4/20,18.12,7.19,15.12,1,0,2012
2,Sunil Narine,15,15,59.1,324,24,5/19,13.5,5.47,14.79,1,1,2012
3,Lasith Malinga,14,14,55.3,350,22,4/16,15.9,6.3,15.13,1,0,2012
4,Umesh Yadav,17,17,61.0,453,19,3/19,23.84,7.42,19.26,0,0,2012
5,Vinay Kumar,15,14,55.5,480,19,3/22,25.26,8.59,17.63,0,0,2012
6,Dale Steyn,12,12,46.4,285,18,3/8,15.83,6.1,15.55,0,0,2012
7,Zaheer Khan,16,15,60.0,453,17,3/38,26.64,7.55,21.17,0,0,2012
8,Parvinder Awana,12,12,47.0,372,17,4/34,21.88,7.91,16.58,1,0,2012
9,Piyush Chawla,16,16,57.0,419,16,3/18,26.18,7.35,21.37,0,0,2012
10,Kieron Pollard,14,14,43.5,350,16,4/44,21.87,7.98,16.43,1,0,2012
11,Muttiah Muralitharan,10,10,40.0,260,15,3/21,17.33,6.5,16.0,0,0,2012
12,Jacques Kallis,17,16,54.0,403,15,2/7,26.86,7.46,21.6,0,0,2012
13,Munaf Patel,12,12,46.4,367,15,4/20,24.46,7.86,18.66,2,0,2012
14,Dwayne Bravo,19,18,57.4,461,15,2/10,30.73,7.99,23.06,0,0,2012
15,Ravichandran Ashwin,19,18,65.5,432,14,3/24,30.85,6.56,28.21,0,0,2012
16,Ben Hilfenhaus,9,9,34.0,233,14,3/27,16.64,6.85,14.57,0,0,2012
17,Azhar Mahmood,11,11,42.4,329,14,3/20,23.5,7.71,18.28,0,0,2012
18,Siddharth Trivedi,14,14,52.0,380,13,4/25,29.23,7.3,24.0,1,0,2012
19,Rajat Bhatia,17,16,53.1,389,13,2/14,29.92,7.31,24.53,0,0,2012
20,Albie Morkel,16,15,49.3,385,13,3/29,29.61,7.77,22.84,0,0,2012
21,Amit Mishra,14,14,47.0,377,13,3/32,29.0,8.02,21.69,0,0,2012
22,Shakib Al Hasan,8,8,30.0,195,12,3/17,16.25,6.5,15.0,0,0,2012
23,Ravindra Jadeja,19,14,35.0,273,12,5/16,22.75,7.8,17.5,0,1,2012
24,Lakshmipathy Balaji,8,8,29.5,162,11,4/18,14.72,5.43,16.27,1,0,2012
25,Ashish Nehra,13,13,48.0,402,11,3/23,36.54,8.37,26.18,0,0,2012
26,Brad Hogg,9,9,36.0,253,10,2/31,25.3,7.02,21.6,0,0,2012
27,Kevon Cooper,6,6,24.0,174,10,4/26,17.4,7.25,14.4,1,0,2012
28,RP Singh,11,11,41.0,318,10,3/28,31.8,7.75,24.6,0,0,2012
29,Ashish Reddy,9,8,24.1,205,10,3/25,20.5,8.48,14.5,0,0,2012
30,Veer Pratap Singh,9,9,34.0,296,10,2/31,29.6,8.7,20.4,0,0,2012
31,Amit Singh,9,9,32.5,310,10,2/29,31.0,9.44,19.7,0,0,2012
32,Praveen Kumar,16,16,63.0,434,9,2/15,48.22,6.88,42.0,0,0,2012
33,Ashok Dinda,7,7,24.0,169,9,4/18,18.77,7.04,16.0,1,0,2012
34,Johan Botha,11,11,41.0,297,9,2/21,33.0,7.24,27.33,0,0,2012
35,Pragyan Ojha,9,9,30.0,220,9,2/17,24.44,7.33,20.0,0,0,2012
36,Rahul Sharma,11,11,37.0,300,9,2/16,33.33,8.1,24.66,0,0,2012
37,Shadab Jakati,15,15,41.0,335,9,2/14,37.22,8.17,27.33,0,0,2012
38,Harshal Patel,12,11,41.0,340,9,2/24,37.77,8.29,27.33,0,0,2012
39,Shahbaz Nadeem,12,12,45.0,318,8,3/16,39.75,7.06,33.75,0,0,2012
40,Bhuvneshwar Kumar,11,11,39.0,281,8,2/9,35.12,7.2,29.25,0,0,2012
41,Ryan Harris,5,5,18.0,130,8,4/34,16.25,7.22,13.5,1,0,2012
42,Marlon Samuels,8,8,28.4,216,8,3/39,27.0,7.53,21.5,0,0,2012
43,Irfan Pathan,17,17,60.0,465,8,2/46,58.12,7.75,45.0,0,0,2012
44,Dan Christian,7,7,27.0,233,8,2/26,29.12,8.62,20.25,0,0,2012
45,Doug Bollinger,6,6,18.0,157,8,3/24,19.62,8.72,13.5,0,0,2012
46,Varun Aaron,8,8,31.0,271,8,2/19,33.87,8.74,23.25,0,0,2012
47,Dimitri Mascarenhas,4,4,16.0,105,7,5/25,15.0,6.56,13.71,0,1,2012
48,Pawan Negi,8,6,22.0,152,7,4/18,21.71,6.9,18.85,1,0,2012
49,Angelo Mathews,9,9,26.0,192,7,2/17,27.42,7.38,22.28,0,0,2012
50,Brett Lee,10,10,38.0,299,7,2/26,42.71,7.86,32.57,0,0,2012
51,Pankaj Singh,6,6,21.0,170,7,2/18,24.28,8.09,18.0,0,0,2012
52,Ankeet Chavan,8,8,27.2,236,7,2/23,33.71,8.63,23.42,0,0,2012
53,Shaun Tait,6,6,22.5,151,6,3/13,25.16,6.61,22.83,0,0,2012
54,Shane Watson,7,7,23.0,161,6,2/19,26.83,7.0,23.0,0,0,2012
55,Harbhajan Singh,17,16,54.0,384,6,2/13,64.0,7.11,54.0,0,0,2012
56,Dhawal Kulkarni,2,2,8.0,64,6,3/18,10.66,8.0,8.0,0,0,2012
57,James Franklin,12,9,15.0,121,6,2/18,20.16,8.06,15.0,0,0,2012
58,Harmeet Singh Bansal,7,6,19.2,168,6,3/24,28.0,8.68,19.33,0,0,2012
59,KP Appanna,7,6,17.0,148,6,4/19,24.66,8.7,17.0,1,0,2012
60,Wayne Parnell,6,6,21.0,128,5,2/18,25.6,6.09,25.2,0,0,2012
61,Andrew McDonald,4,3,10.0,61,5,2/25,12.2,6.1,12.0,0,0,2012
62,Ajit Chandila,4,4,14.0,86,5,4/13,17.2,6.14,16.8,1,0,2012
63,Daniel Vettori,9,9,35.0,236,5,1/20,47.2,6.74,42.0,0,0,2012
64,Iqbal Abdulla,9,8,22.0,144,4,1/20,36.0,6.54,33.0,0,0,2012
65,Nuwan Kulasekara,5,4,14.0,94,4,2/10,23.5,6.71,21.0,0,0,2012
66,Ankit Sharma,9,9,24.1,165,4,1/9,41.25,6.82,36.25,0,0,2012
67,Murali Kartik,11,11,36.0,266,4,2/14,66.5,7.38,54.0,0,0,2012
68,David Hussey,16,6,9.0,63,3,2/2,21.0,7.0,18.0,0,0,2012
69,Alfonso Thomas,4,4,14.0,109,3,3/22,36.33,7.78,28.0,0,0,2012
70,Stuart Binny,8,6,10.0,78,3,1/8,26.0,7.8,20.0,0,0,2012
71,Doug Bracewell,1,1,4.0,32,3,3/32,10.66,8.0,8.0,0,0,2012
72,Yusuf Pathan,17,12,22.0,182,3,2/12,60.66,8.27,44.0,0,0,2012
73,Manpreet Gony,6,6,24.0,207,3,1/26,69.0,8.62,48.0,0,0,2012
74,Yo Mahesh,5,4,9.2,81,3,2/21,27.0,8.67,18.66,0,0,2012
75,Robin Peterson,5,4,8.0,70,3,3/37,23.33,8.75,16.0,0,0,2012
76,James Faulkner,2,2,8.0,72,3,2/41,24.0,9.0,16.0,0,0,2012
77,Shikhar Dhawan,15,4,6.0,55,3,1/8,18.33,9.16,12.0,0,0,2012
78,Anand Rajan,4,4,11.5,109,3,1/11,36.33,9.21,23.66,0,0,2012
79,Ajit Agarkar,4,4,14.2,134,3,2/27,44.66,9.34,28.66,0,0,2012
80,Marchant de Lange,3,3,10.0,107,3,3/34,35.66,10.7,20.0,0,0,2012
81,Roelof van der Merwe,3,3,10.0,60,2,2/28,30.0,6.0,30.0,0,0,2012
82,Michael Clarke,6,5,11.0,67,2,1/12,33.5,6.09,33.0,0,0,2012
83,Dwayne Smith,7,6,13.0,95,2,1/8,47.5,7.3,39.0,0,0,2012
84,Suresh Raina,19,7,14.0,105,2,1/5,52.5,7.5,42.0,0,0,2012
85,Bhargav Bhatt,5,5,16.3,136,2,2/24,68.0,8.24,49.5,0,0,2012
86,Juan Theron,2,2,8.0,66,2,2/37,33.0,8.25,24.0,0,0,2012
87,Sourav Ganguly,15,4,10.0,95,2,2/27,47.5,9.5,30.0,0,0,2012
88,Laxmi Ratan Shukla,11,2,2.0,12,1,1/5,12.0,6.0,12.0,0,0,2012
89,Abhishek Jhunjhunwala,5,3,6.0,38,1,1/13,38.0,6.33,36.0,0,0,2012
90,Ashok Menaria,15,3,3.2,23,1,1/3,23.0,6.9,20.0,0,0,2012
91,Glenn Maxwell,2,2,3.0,22,1,1/10,22.0,7.33,18.0,0,0,2012
92,Mandeep Singh,16,1,3.0,23,1,1/23,23.0,7.66,18.0,0,0,2012
93,Ryan ten Doeschate,3,1,3.0,24,1,1/24,24.0,8.0,18.0,0,0,2012
94,Clint McKay,2,2,7.0,60,1,1/36,60.0,8.57,42.0,0,0,2012
95,JP Duminy,9,6,12.0,104,1,1/8,104.0,8.66,72.0,0,0,2012
96,Jesse Ryder,11,4,7.0,70,1,1/25,70.0,10.0,42.0,0,0,2012
97,Andre Russell,4,4,16.0,161,1,1/51,161.0,10.06,96.0,0,0,2012
98,Brad Hodge,12,2,2.0,21,1,1/13,21.0,10.5,12.0,0,0,2012
99,Pradeep Sangwan,1,1,4.0,42,1,1/42,42.0,10.5,24.0,0,0,2012
100,Akshath Reddy,5,1,3.0,32,1,1/32,32.0,10.66,18.0,0,0,2012
101,TP Sudhindra,3,3,11.4,136,1,1/46,136.0,11.65,70.0,0,0,2012
102,Ali Murtaza,1,1,2.0,11,0,0/11,0.0,5.5,0.0,0,0,2012
103,Krishnakant Upadhyay,1,1,4.0,33,0,0/33,0.0,8.25,0.0,0,0,2012
104,Abu Nechim,1,1,2.0,17,0,0/17,0.0,8.5,0.0,0,0,2012
105,Daniel Harris,4,2,3.0,26,0,0/11,0.0,8.66,0.0,0,0,2012
106,Kevin Pietersen,8,3,6.0,53,0,0/16,0.0,8.83,0.0,0,0,2012
107,Cameron White,13,2,3.0,27,0,0/8,0.0,9.0,0.0,0,0,2012
108,Syed Mohammad,2,2,7.0,65,0,0/27,0.0,9.28,0.0,0,0,2012
109,Yogesh Nagar,13,1,1.0,10,0,0/10,0.0,10.0,0.0,0,0,2012
110,Bipul Sharma,5,3,7.4,79,0,0/11,0.0,10.3,0.0,0,0,2012
111,Rahul Shukla,1,1,3.0,31,0,0/31,0.0,10.33,0.0,0,0,2012
112,Jaydev Unadkat,1,1,3.0,32,0,0/32,0.0,10.66,0.0,0,0,2012
113,Ramesh Powar,1,1,3.0,32,0,0/32,0.0,10.66,0.0,0,0,2012
114,Thisara Perera,2,2,2.3,27,0,0/8,0.0,10.8,0.0,0,0,2012
115,Abhimanyu Mithun,1,1,3.0,33,0,0/33,0.0,11.0,0.0,0,0,2012
116,Tillakaratne Dilshan,10,5,7.0,77,0,0/6,0.0,11.0,0.0,0,0,2012
117,Virender Sehwag,16,3,4.0,45,0,0/9,0.0,11.25,0.0,0,0,2012
118,Luke Wright,1,1,2.0,24,0,0/24,0.0,12.0,0.0,0,0,2012
119,Venugopal Rao,10,2,2.0,26,0,0/13,0.0,13.0,0.0,0,0,2012
120,Asad Pathan,2,1,1.0,14,0,0/14,0.0,14.0,0.0,0,0,2012
121,Chris Gayle,15,3,4.4,66,0,0/6,0.0,14.14,0.0,0,0,2012
122,Steve Smith,15,1,0.2,5,0,0/5,0.0,15.0,0.0,0,0,2012
123,Sunny Gupta,1,1,3.0,47,0,0/47,0.0,15.66,0.0,0,0,2012
124,Paul Valthaty,6,1,1.0,16,0,0/16,0.0,16.0,0.0,0,0,2012
125,Faf du Plessis,13,1,1.0,16,0,0/16,0.0,16.0,0.0,0,0,2012
126,Sreenath Aravind,1,1,3.0,48,0,0/48,0.0,16.0,0.0,0,0,2012
127,Rohit Sharma,17,1,1.0,16,0,0/16,0.0,16.0,0.0,0,0,2012
128,Abhishek Nayar,4,1,1.0,16,0,0/16,0.0,16.0,0.0,0,0,2012
129,Virat Kohli,16,2,3.0,49,0,0/13,0.0,16.33,0.0,0,0,2012
130,Raju Bhatkal,1,1,2.0,35,0,0/35,0.0,17.5,0.0,0,0,2012
1,Dwayne Bravo,18,18,62.3,497,32,4/42,15.53,7.95,11.71,1,0,2013
2,James Faulkner,16,16,63.1,427,28,5/16,15.25,6.75,13.53,0,2,2013
3,Harbhajan Singh,19,19,70.0,456,24,3/14,19.0,6.51,17.5,0,0,2013
4,Mitchell Johnson,17,17,64.0,459,24,3/27,19.12,7.17,16.0,0,0,2013
5,Vinay Kumar,16,16,60.1,493,23,3/18,21.43,8.19,15.69,0,0,2013
6,Sunil Narine,16,16,64.0,350,22,4/13,15.9,5.46,17.45,2,0,2013
7,Amit Mishra,17,17,62.0,394,21,4/19,18.76,6.35,17.71,1,0,2013
8,Mohit Sharma,15,15,50.4,326,20,3/10,16.3,6.43,15.2,0,0,2013
9,Lasith Malinga,17,17,65.2,468,20,3/39,23.4,7.16,19.6,0,0,2013
10,Dale Steyn,17,17,67.5,384,19,3/11,20.21,5.66,21.42,0,0,2013
11,Thisara Perera,16,16,59.4,478,19,3/20,25.15,8.01,18.84,0,0,2013
12,Kevon Cooper,14,14,54.0,449,19,3/15,23.63,8.31,17.05,0,0,2013
13,Pragyan Ojha,16,15,52.2,381,16,3/11,23.81,7.28,19.62,0,0,2013
14,Jacques Kallis,16,15,53.0,394,16,3/13,24.62,7.43,19.87,0,0,2013
15,Umesh Yadav,16,16,57.5,508,16,4/24,31.75,8.78,21.68,1,0,2013
16,Ashok Dinda,13,13,49.0,465,16,3/31,29.06,9.48,18.37,0,0,2013
17,Ravichandran Ashwin,18,18,58.0,390,15,2/18,26.0,6.72,23.2,0,0,2013
18,Azhar Mahmood,11,11,43.5,330,15,3/21,22.0,7.52,17.53,0,0,2013
19,Parvinder Awana,14,14,54.0,412,15,3/39,27.46,7.62,21.6,0,0,2013
